SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
19521,8216,100,1,-8.52,0,62,4402,13081,262,1471,32767,12994,14167,18107,3
19519,8211,100,1,-8.39,0,55,4410,13087,263,1472,32767,12997,14173,18113,3
19533,8220,100,1,-8.51,0,61,4401,13092,263,1472,32767,13000,14170,18119,3
19522,8220,100,1,-8.34,0,61,4384,13098,263,1472,32767,13002,14165,18124,3
19532,8219,100,1,-8.54,0,61,4382,13100,263,1472,32767,13008,14171,18127,3
19534,8218,100,1,-8.64,0,67,4377,13103,263,1472,32767,13009,14168,18127,3
19526,8218,100,1,-8.67,0,57,4379,13106,263,1473,32767,13011,14175,18135,3
19513,8211,100,1,-8.68,0,62,4381,13107,263,1473,32767,13012,14170,18135,3
19526,8215,100,1,-8.31,0,67,4375,13111,263,1473,32767,13019,14177,18140,3
19520,8223,100,1,-8.48,0,61,4378,13112,263,1473,32767,13017,14175,18142,3
19527,8219,100,1,-8.71,0,61,4380,13111,262,1472,32767,13021,14185,18139,3
19524,8209,100,1,-8.63,0,61,4384,13112,263,1473,32767,13024,14191,18139,3
19522,8217,100,1,-8.49,0,67,4388,13113,263,1473,32767,13024,14192,18141,3
19532,8215,100,1,-8.54,0,56,4379,13112,263,1473,32767,13024,14171,18145,3
19526,8211,100,1,-8.69,0,58,4364,13112,262,1473,32767,13027,14192,18153,3
19520,8219,100,1,-8.63,0,68,4396,13112,262,1471,32767,12999,14151,18138,3
19521,8213,100,1,-8.46,0,73,4404,13097,262,1469,32767,12995,14146,18129,3
19528,8216,100,1,-8.63,0,84,4391,13080,261,1468,32767,12992,14149,18121,3
19531,8213,100,1,-8.51,0,73,4393,13067,261,1468,32767,13004,14170,18122,3
19524,8215,100,1,-8.48,0,66,4386,13061,261,1468,32767,13012,14163,18118,3
19519,8216,100,1,-8.38,0,71,4369,13059,261,1468,32767,13021,14154,18124,3
19538,8205,100,1,-8.26,0,65,4346,13056,261,1468,32767,13027,14143,18123,3
19525,8214,100,1,-8.43,0,63,4332,13052,261,1467,32767,13031,14142,18134,3
